 Sat1	        0.81472	           Sat2	        0.90579	           Sat3	        0.12699	           Sat4	        0.91338	           Sat5	        0.63236	
 Sat1	        0.78025	           Sat2	        0.38974	           Sat3	        0.24169	           Sat4	        0.40391	           Sat5	       0.096455	
 Sat1	        0.13197	           Sat2	        0.94205	           Sat3	        0.95613	           Sat4	        0.57521	           Sat5	        0.05978	
 Sat1	        0.23478	           Sat2	        0.35316	           Sat3	        0.82119	           Sat4	       0.015403	           Sat5	       0.043024	
 Sat1	        0.16899	           Sat2	        0.64912	           Sat3	        0.73172	           Sat4	        0.64775	           Sat5	        0.45092	
 Sat1	        0.54701	           Sat2	        0.29632	           Sat3	        0.74469	           Sat4	        0.18896	           Sat5	        0.68678	
 Sat1	        0.18351	           Sat2	        0.36848	           Sat3	        0.62562	           Sat4	        0.78023	           Sat5	       0.081126	
 Sat1	        0.92939	           Sat2	        0.77571	           Sat3	        0.48679	           Sat4	        0.43586	           Sat5	        0.44678	
 Sat1	        0.30635	           Sat2	        0.50851	           Sat3	        0.51077	           Sat4	        0.81763	           Sat5	        0.79483	
 Sat1	        0.64432	           Sat2	        0.37861	           Sat3	        0.81158	           Sat4	        0.53283	           Sat5	        0.35073	
 Sat1	          0.939	           Sat2	        0.87594	           Sat3	        0.55016	           Sat4	        0.62248	           Sat5	        0.58704	
 Sat1	        0.20774	           Sat2	        0.30125	           Sat3	        0.47092	           Sat4	        0.23049	           Sat5	        0.84431	
 Sat1	        0.19476	           Sat2	        0.22592	           Sat3	        0.17071	           Sat4	        0.22766	           Sat5	         0.4357	
 Sat1	         0.3111	           Sat2	        0.92338	           Sat3	        0.43021	           Sat4	        0.18482	           Sat5	        0.90488	
 Sat1	        0.97975	           Sat2	        0.43887	           Sat3	        0.11112	           Sat4	        0.25806	           Sat5	        0.40872	
 Sat1	         0.5949	           Sat2	        0.26221	           Sat3	        0.60284	           Sat4	        0.71122	           Sat5	        0.22175	
 Sat1	        0.11742	           Sat2	        0.29668	           Sat3	        0.31878	           Sat4	        0.42417	           Sat5	        0.50786	
 Sat1	       0.085516	           Sat2	        0.26248	           Sat3	        0.80101	           Sat4	        0.02922	           Sat5	        0.92885	
 Sat1	        0.73033	           Sat2	        0.48861	           Sat3	        0.57853	           Sat4	        0.23728	           Sat5	        0.45885	
 Sat1	        0.96309	           Sat2	        0.54681	           Sat3	        0.52114	           Sat4	        0.23159	           Sat5	         0.4889	
 Sat1	        0.62406	           Sat2	        0.67914	           Sat3	        0.39552	           Sat4	        0.36744	           Sat5	        0.98798	
 Sat1	       0.037739	           Sat2	        0.88517	           Sat3	        0.91329	           Sat4	        0.79618	           Sat5	       0.098712	
 Sat1	        0.26187	           Sat2	        0.33536	           Sat3	        0.67973	           Sat4	        0.13655	           Sat5	        0.72123	
 Sat1	        0.10676	           Sat2	        0.65376	           Sat3	        0.49417	           Sat4	        0.77905	           Sat5	        0.71504	
 Sat1	        0.90372	           Sat2	        0.89092	           Sat3	        0.33416	           Sat4	        0.69875	           Sat5	        0.19781	
 Sat1	       0.030541	           Sat2	        0.74407	           Sat3	        0.50002	           Sat4	        0.47992	           Sat5	        0.90472	
 Sat1	        0.60987	           Sat2	        0.61767	           Sat3	        0.85944	           Sat4	        0.80549	           Sat5	        0.57672	
 Sat1	        0.18292	           Sat2	        0.23993	           Sat3	        0.88651	           Sat4	       0.028674	           Sat5	         0.4899	
 Sat1	        0.16793	           Sat2	        0.97868	           Sat3	        0.71269	           Sat4	        0.50047	           Sat5	        0.47109	
 Sat1	       0.059619	           Sat2	        0.68197	           Sat3	       0.042431	           Sat4	       0.071445	           Sat5	        0.52165	
 Sat1	        0.09673	           Sat2	        0.81815	           Sat3	        0.81755	           Sat4	        0.72244	           Sat5	        0.14987	
 Sat1	        0.65961	           Sat2	        0.51859	           Sat3	        0.97297	           Sat4	        0.64899	           Sat5	        0.80033	
 Sat1	         0.4538	           Sat2	        0.43239	           Sat3	        0.82531	           Sat4	        0.08347	           Sat5	        0.13317	
 Sat1	        0.17339	           Sat2	        0.39094	           Sat3	        0.83138	           Sat4	        0.80336	           Sat5	       0.060471	
 Sat1	        0.39926	           Sat2	        0.52688	           Sat3	         0.4168	           Sat4	        0.65686	           Sat5	        0.62797	
 Sat1	        0.29198	           Sat2	        0.43165	           Sat3	       0.015487	           Sat4	        0.98406	           Sat5	        0.16717	
 Sat1	        0.10622	           Sat2	        0.37241	           Sat3	        0.19812	           Sat4	        0.48969	           Sat5	        0.33949	
 Sat1	        0.95163	           Sat2	        0.92033	           Sat3	       0.052677	           Sat4	        0.73786	           Sat5	        0.26912	
 Sat1	        0.42284	           Sat2	        0.54787	           Sat3	        0.94274	           Sat4	        0.41774	           Sat5	        0.98305	
 Sat1	        0.30145	           Sat2	         0.7011	           Sat3	        0.66634	           Sat4	        0.53913	           Sat5	        0.69811	
 Sat1	        0.66653	           Sat2	        0.17813	           Sat3	        0.12801	           Sat4	        0.99908	           Sat5	        0.17112	
 Sat1	       0.032601	           Sat2	         0.5612	           Sat3	        0.88187	           Sat4	        0.66918	           Sat5	        0.19043	
 Sat1	        0.36892	           Sat2	        0.46073	           Sat3	        0.98164	           Sat4	         0.1564	           Sat5	        0.85552	
 Sat1	        0.64476	           Sat2	        0.37627	           Sat3	        0.19092	           Sat4	        0.42825	           Sat5	        0.48202	
 Sat1	        0.12061	           Sat2	        0.58951	           Sat3	        0.22619	           Sat4	        0.38462	           Sat5	        0.58299	
 Sat1	        0.25181	           Sat2	        0.29044	           Sat3	        0.61709	           Sat4	        0.26528	           Sat5	        0.82438	
 Sat1	        0.98266	           Sat2	        0.73025	           Sat3	        0.34388	           Sat4	        0.58407	           Sat5	        0.10777	
 Sat1	        0.90631	           Sat2	        0.87965	           Sat3	        0.81776	           Sat4	        0.26073	           Sat5	        0.59436	
 Sat1	       0.022513	           Sat2	        0.42526	           Sat3	        0.31272	           Sat4	        0.16148	           Sat5	        0.17877	
 Sat1	        0.42289	           Sat2	       0.094229	           Sat3	        0.59852	           Sat4	        0.47092	           Sat5	        0.69595	
 Sat1	        0.69989	           Sat2	        0.63853	           Sat3	       0.033604	           Sat4	       0.068806	           Sat5	         0.3196	
 Sat1	        0.53086	           Sat2	        0.65445	           Sat3	        0.40762	           Sat4	        0.81998	           Sat5	        0.71836	
 Sat1	        0.96865	           Sat2	        0.53133	           Sat3	        0.32515	           Sat4	        0.10563	           Sat5	        0.61096	
 Sat1	         0.7788	           Sat2	        0.42345	           Sat3	       0.090823	           Sat4	        0.26647	           Sat5	        0.15366	
 Sat1	        0.28101	           Sat2	        0.44009	           Sat3	        0.52714	           Sat4	        0.45742	           Sat5	        0.87537	
 Sat1	        0.51805	           Sat2	        0.94362	           Sat3	        0.63771	           Sat4	        0.95769	           Sat5	        0.24071	
 Sat1	        0.67612	           Sat2	        0.28906	           Sat3	        0.67181	           Sat4	        0.69514	           Sat5	       0.067993	
 Sat1	        0.25479	           Sat2	        0.22404	           Sat3	        0.66783	           Sat4	        0.84439	           Sat5	        0.34446	
 Sat1	        0.78052	           Sat2	        0.67533	           Sat3	      0.0067153	           Sat4	        0.60217	           Sat5	        0.38677	
 Sat1	        0.91599	           Sat2	      0.0011511	           Sat3	        0.46245	           Sat4	        0.42435	           Sat5	        0.46092	
 Sat1	        0.77016	           Sat2	        0.32247	           Sat3	        0.78474	           Sat4	        0.47136	           Sat5	       0.035763	
 Sat1	        0.17587	           Sat2	        0.72176	           Sat3	        0.47349	           Sat4	        0.15272	           Sat5	        0.34112	
 Sat1	        0.60739	           Sat2	        0.19175	           Sat3	        0.73843	           Sat4	        0.24285	           Sat5	        0.91742	
 Sat1	        0.26906	           Sat2	         0.7655	           Sat3	        0.18866	           Sat4	         0.2875	           Sat5	       0.091113	
 Sat1	        0.57621	           Sat2	        0.68336	           Sat3	        0.54659	           Sat4	        0.42573	           Sat5	        0.64444	
 Sat1	        0.64762	           Sat2	        0.67902	           Sat3	        0.63579	           Sat4	        0.94517	           Sat5	        0.20893	
 Sat1	        0.70928	           Sat2	        0.23623	           Sat3	         0.1194	           Sat4	         0.6073	           Sat5	        0.45014	
 Sat1	        0.45873	           Sat2	        0.66194	           Sat3	        0.77029	           Sat4	        0.35022	           Sat5	        0.66201	
 Sat1	        0.41616	           Sat2	        0.84193	           Sat3	        0.83292	           Sat4	        0.25644	           Sat5	        0.61346	
 Sat1	        0.58225	           Sat2	        0.54074	           Sat3	        0.86994	           Sat4	        0.26478	           Sat5	        0.31807	
 Sat1	        0.11921	           Sat2	        0.93983	           Sat3	        0.64555	           Sat4	        0.47946	           Sat5	        0.63932	
 Sat1	        0.54472	           Sat2	        0.64731	           Sat3	        0.54389	           Sat4	        0.72105	           Sat5	         0.5225	
 Sat1	         0.9937	           Sat2	        0.21868	           Sat3	         0.1058	           Sat4	         0.1097	           Sat5	       0.063591	
 Sat1	        0.40458	           Sat2	        0.44837	           Sat3	        0.36582	           Sat4	         0.7635	           Sat5	         0.6279	
 Sat1	        0.77198	           Sat2	        0.93285	           Sat3	        0.97274	           Sat4	        0.19203	           Sat5	        0.13887	
 Sat1	        0.69627	           Sat2	        0.09382	           Sat3	         0.5254	           Sat4	        0.53034	           Sat5	        0.86114	
 Sat1	        0.48485	           Sat2	        0.39346	           Sat3	        0.67143	           Sat4	        0.74126	           Sat5	        0.52005	
 Sat1	        0.34771	           Sat2	           0.15	           Sat3	        0.58609	           Sat4	        0.26215	           Sat5	       0.044454	
 Sat1	        0.75493	           Sat2	        0.24279	           Sat3	         0.4424	           Sat4	         0.6878	           Sat5	        0.35923	
 Sat1	        0.73634	           Sat2	        0.39471	           Sat3	        0.68342	           Sat4	        0.70405	           Sat5	        0.44231	
 Sat1	       0.019578	           Sat2	        0.33086	           Sat3	        0.42431	           Sat4	        0.27027	           Sat5	        0.19705	
 Sat1	        0.82172	           Sat2	        0.42992	           Sat3	        0.88777	           Sat4	        0.39118	           Sat5	        0.76911	
 Sat1	        0.39679	           Sat2	        0.80851	           Sat3	        0.75508	           Sat4	         0.3774	           Sat5	        0.21602	
 Sat1	        0.79041	           Sat2	         0.9493	           Sat3	        0.32757	           Sat4	        0.67126	           Sat5	        0.43864	
 Sat1	         0.8335	           Sat2	        0.76885	           Sat3	        0.16725	           Sat4	        0.86198	           Sat5	        0.98987	
 Sat1	        0.51442	           Sat2	        0.88428	           Sat3	        0.58803	           Sat4	        0.15475	           Sat5	        0.19986	
 Sat1	        0.40695	           Sat2	        0.74871	           Sat3	        0.82558	           Sat4	        0.78996	           Sat5	        0.31852	
 Sat1	        0.53406	           Sat2	       0.089951	           Sat3	        0.11171	           Sat4	        0.13629	           Sat5	        0.67865	
 Sat1	        0.49518	           Sat2	        0.18971	           Sat3	        0.49501	           Sat4	        0.14761	           Sat5	       0.054974	
 Sat1	        0.85071	           Sat2	        0.56056	           Sat3	        0.92961	           Sat4	        0.69667	           Sat5	        0.58279	
 Sat1	         0.8154	           Sat2	        0.87901	           Sat3	        0.98891	           Sat4	     0.00052238	           Sat5	        0.86544	
 Sat1	        0.61257	           Sat2	        0.98995	           Sat3	        0.52768	           Sat4	        0.47952	           Sat5	        0.80135	
 Sat1	        0.22784	           Sat2	        0.49809	           Sat3	        0.90085	           Sat4	        0.57466	           Sat5	        0.84518	
 Sat1	        0.73864	           Sat2	        0.58599	           Sat3	        0.24673	           Sat4	        0.66642	           Sat5	       0.083483	
 Sat1	        0.62596	           Sat2	        0.66094	           Sat3	        0.72975	           Sat4	        0.89075	           Sat5	         0.9823	
 Sat1	        0.76903	           Sat2	        0.58145	           Sat3	        0.92831	           Sat4	        0.58009	           Sat5	       0.016983	
 Sat1	        0.12086	           Sat2	        0.86271	           Sat3	         0.4843	           Sat4	        0.84486	           Sat5	        0.20941	
 Sat1	        0.55229	           Sat2	        0.62988	           Sat3	       0.031991	           Sat4	        0.61471	           Sat5	        0.36241	
 Sat1	       0.049533	           Sat2	        0.48957	           Sat3	        0.19251	           Sat4	        0.12308	           Sat5	        0.20549	
 Sat1	        0.14651	           Sat2	        0.18907	           Sat3	       0.042652	           Sat4	         0.6352	           Sat5	        0.28187	
 Sat1	         0.5386	           Sat2	        0.69516	           Sat3	        0.49912	           Sat4	         0.5358	           Sat5	        0.44518	
 Sat1	        0.12393	           Sat2	        0.49036	           Sat3	          0.853	           Sat4	        0.87393	           Sat5	        0.27029	
 Sat1	        0.20846	           Sat2	        0.56498	           Sat3	        0.64031	           Sat4	        0.41703	           Sat5	        0.20598	
 Sat1	        0.94793	           Sat2	       0.082071	           Sat3	        0.10571	           Sat4	        0.14204	           Sat5	        0.16646	
 Sat1	        0.62096	           Sat2	        0.57371	           Sat3	       0.052078	           Sat4	         0.9312	           Sat5	        0.72866	
 Sat1	        0.73784	           Sat2	       0.063405	           Sat3	        0.86044	           Sat4	        0.93441	           Sat5	         0.9844	
 Sat1	        0.85894	           Sat2	        0.78556	           Sat3	        0.51338	           Sat4	         0.1776	           Sat5	        0.39859	
 Sat1	        0.13393	           Sat2	        0.03089	           Sat3	        0.93914	           Sat4	        0.30131	           Sat5	        0.29553	
 Sat1	        0.33294	           Sat2	        0.46707	           Sat3	         0.6482	           Sat4	       0.025228	           Sat5	        0.84221	
 Sat1	        0.55903	           Sat2	         0.8541	           Sat3	        0.34788	           Sat4	        0.44603	           Sat5	       0.054239	
 Sat1	        0.17711	           Sat2	        0.66281	           Sat3	        0.33083	           Sat4	        0.89849	           Sat5	        0.11816	
 Sat1	        0.98842	           Sat2	        0.53998	           Sat3	        0.70692	           Sat4	        0.99949	           Sat5	        0.28785	
 Sat1	        0.41452	           Sat2	        0.46484	           Sat3	        0.76396	           Sat4	         0.8182	           Sat5	        0.10022	
 Sat1	        0.17812	           Sat2	        0.35963	           Sat3	       0.056705	           Sat4	        0.52189	           Sat5	        0.33585	
 Sat1	        0.17567	           Sat2	        0.20895	           Sat3	        0.90515	           Sat4	        0.67539	           Sat5	        0.46847	
 Sat1	        0.91213	           Sat2	        0.10401	           Sat3	        0.74555	           Sat4	        0.73627	           Sat5	        0.56186	
 Sat1	        0.18419	           Sat2	        0.59721	           Sat3	        0.29994	           Sat4	        0.13412	           Sat5	         0.2126	
 Sat1	        0.89494	           Sat2	       0.071453	           Sat3	        0.24249	           Sat4	       0.053754	           Sat5	        0.44172	
 Sat1	       0.013283	           Sat2	        0.89719	           Sat3	        0.19666	           Sat4	       0.093371	           Sat5	        0.30737	
 Sat1	        0.45606	           Sat2	        0.10167	           Sat3	        0.99539	           Sat4	        0.33209	           Sat5	        0.29735	
 Sat1	       0.062045	           Sat2	        0.29824	           Sat3	       0.046351	           Sat4	        0.50543	           Sat5	        0.76143	
 Sat1	        0.63107	           Sat2	       0.089892	           Sat3	       0.080862	           Sat4	        0.77724	           Sat5	        0.90513	
 Sat1	        0.53377	           Sat2	        0.10915	           Sat3	        0.82581	           Sat4	         0.3381	           Sat5	        0.29397	
 Sat1	        0.74631	           Sat2	       0.010337	           Sat3	       0.048447	           Sat4	        0.66792	           Sat5	        0.60347	
 Sat1	         0.5261	           Sat2	        0.72971	           Sat3	        0.70725	           Sat4	        0.78138	           Sat5	        0.28798	
 Sat1	        0.69253	           Sat2	        0.55667	           Sat3	        0.39652	           Sat4	       0.061591	           Sat5	        0.78018	
 Sat1	        0.33758	           Sat2	        0.60787	           Sat3	        0.74125	           Sat4	        0.10481	           Sat5	        0.12789	
 Sat1	        0.54954	           Sat2	        0.48523	           Sat3	        0.89048	           Sat4	        0.79896	           Sat5	        0.73434	
 Sat1	       0.051332	           Sat2	       0.072885	           Sat3	       0.088527	           Sat4	        0.79835	           Sat5	        0.94301	
 Sat1	        0.68372	           Sat2	        0.13208	           Sat3	        0.72272	           Sat4	        0.11035	           Sat5	        0.11749	
 Sat1	        0.64072	           Sat2	        0.32881	           Sat3	        0.65381	           Sat4	        0.74913	           Sat5	        0.58319	
 Sat1	        0.74003	           Sat2	        0.23483	           Sat3	        0.73496	           Sat4	         0.9706	           Sat5	        0.86693	
 Sat1	       0.086235	           Sat2	        0.36644	           Sat3	         0.3692	           Sat4	        0.68503	           Sat5	        0.59794	
 Sat1	        0.78936	           Sat2	        0.36765	           Sat3	        0.20603	           Sat4	       0.086667	           Sat5	        0.77193	
 Sat1	        0.20567	           Sat2	        0.38827	           Sat3	        0.55178	           Sat4	        0.22895	           Sat5	        0.64194	
 Sat1	        0.48448	           Sat2	        0.15185	           Sat3	        0.78193	           Sat4	        0.10061	           Sat5	        0.29407	
 Sat1	        0.23737	           Sat2	        0.53087	           Sat3	       0.091499	           Sat4	        0.40532	           Sat5	        0.10485	
 Sat1	        0.11228	           Sat2	        0.78443	           Sat3	        0.29157	           Sat4	        0.60353	           Sat5	        0.96442	
 Sat1	        0.43248	           Sat2	        0.69475	           Sat3	         0.7581	           Sat4	        0.43264	           Sat5	         0.6555	
 Sat1	        0.10976	           Sat2	        0.93376	           Sat3	        0.18746	           Sat4	        0.26618	           Sat5	        0.79783	
 Sat1	         0.4876	           Sat2	        0.76896	           Sat3	        0.39601	           Sat4	        0.27294	           Sat5	       0.037235	
 Sat1	        0.67329	           Sat2	        0.42956	           Sat3	        0.45174	           Sat4	        0.60986	           Sat5	       0.059403	
 Sat1	        0.31581	           Sat2	        0.77272	           Sat3	        0.69643	           Sat4	        0.12533	           Sat5	        0.13015	
 Sat1	       0.092352	           Sat2	      0.0078203	           Sat3	        0.42311	           Sat4	        0.65557	           Sat5	        0.72292	
 Sat1	        0.53121	           Sat2	        0.10882	           Sat3	        0.63177	           Sat4	         0.1265	           Sat5	         0.1343	
 Sat1	       0.098594	           Sat2	        0.14203	           Sat3	        0.16825	           Sat4	        0.19625	           Sat5	        0.31748	
 Sat1	        0.31643	           Sat2	        0.21756	           Sat3	        0.25104	           Sat4	        0.89292	           Sat5	        0.70322	
 Sat1	        0.55574	           Sat2	        0.18443	           Sat3	        0.21203	           Sat4	       0.077347	           Sat5	         0.9138	
 Sat1	        0.70672	           Sat2	        0.55779	           Sat3	        0.31343	           Sat4	         0.1662	           Sat5	         0.6225	
 Sat1	        0.98793	           Sat2	        0.17043	           Sat3	        0.25779	           Sat4	         0.3968	           Sat5	       0.073995	
 Sat1	         0.6841	           Sat2	        0.40239	           Sat3	        0.98284	           Sat4	        0.40218	           Sat5	        0.62067	
 Sat1	        0.15437	           Sat2	        0.38135	           Sat3	        0.16113	           Sat4	        0.75811	           Sat5	        0.87111	
 Sat1	        0.35078	           Sat2	        0.68554	           Sat3	        0.29415	           Sat4	        0.53063	           Sat5	        0.83242	
 Sat1	        0.59749	           Sat2	        0.33531	           Sat3	        0.29923	           Sat4	        0.45259	           Sat5	        0.42265	
 Sat1	        0.35961	           Sat2	        0.55832	           Sat3	        0.74255	           Sat4	        0.42433	           Sat5	        0.42936	
 Sat1	        0.12487	           Sat2	       0.024434	           Sat3	        0.29019	           Sat4	        0.31752	           Sat5	        0.65369	
 Sat1	        0.95694	           Sat2	        0.93573	           Sat3	        0.45789	           Sat4	        0.24048	           Sat5	         0.7639	
 Sat1	        0.75933	           Sat2	        0.74065	           Sat3	        0.74369	           Sat4	        0.10592	           Sat5	        0.68156	
 Sat1	        0.46326	           Sat2	        0.21216	           Sat3	       0.098519	           Sat4	        0.82357	           Sat5	        0.17501	
 Sat1	        0.16357	           Sat2	        0.66599	           Sat3	        0.89439	           Sat4	        0.51656	           Sat5	         0.7027	
 Sat1	        0.15359	           Sat2	        0.95346	           Sat3	        0.54088	           Sat4	        0.67973	           Sat5	       0.036563	
 Sat1	         0.8092	           Sat2	        0.74862	           Sat3	        0.12019	           Sat4	        0.52505	           Sat5	        0.32583	
 Sat1	        0.54645	           Sat2	        0.39888	           Sat3	        0.41509	           Sat4	        0.18074	           Sat5	        0.25539	
 Sat1	       0.020536	           Sat2	        0.92368	           Sat3	         0.6537	           Sat4	        0.93261	           Sat5	        0.16351	
 Sat1	         0.9211	           Sat2	        0.79466	           Sat3	        0.57739	           Sat4	        0.44004	           Sat5	        0.25761	
 Sat1	        0.75195	           Sat2	        0.22867	           Sat3	       0.064187	           Sat4	        0.76733	           Sat5	         0.6712	
 Sat1	        0.71521	           Sat2	        0.64206	           Sat3	        0.41905	           Sat4	        0.39076	           Sat5	        0.81614	
 Sat1	        0.31743	           Sat2	        0.81454	           Sat3	        0.78907	           Sat4	        0.85226	           Sat5	        0.50564	
 Sat1	        0.63566	           Sat2	        0.95089	           Sat3	        0.44396	           Sat4	       0.060019	           Sat5	        0.86675	
 Sat1	        0.63119	           Sat2	        0.35507	           Sat3	          0.997	           Sat4	        0.22417	           Sat5	        0.65245	
 Sat1	        0.60499	           Sat2	        0.38725	           Sat3	        0.14219	           Sat4	       0.025135	           Sat5	        0.42111	
 Sat1	         0.1841	           Sat2	        0.72578	           Sat3	        0.37036	           Sat4	        0.84156	           Sat5	        0.73423	
